TOTAL,SW,EB,INST_TOT,INST_SW,INST_EB,STATE,YEAR
5628.0,3782.0,910.0,3411.0,2582.0,590.0,Kentucky,1999
5420.0,3583.0,959.0,3313.0,2410.0,658.0,Louisiana,1999
7119.0,4409.0,1537.0,4738.0,3154.0,1073.0,Maine,1999
7176.0,4534.0,1504.0,4349.0,3035.0,1043.0,Maryland,1999
8106.0,4951.0,1271.0,5424.0,3692.0,973.0,Massachusetts,1999
7234.0,4715.0,1530.0,4198.0,2958.0,952.0,Michigan,1999
6674.0,4538.0,1047.0,4230.0,3145.0,736.0,Minnesota,1999
4544.0,2914.0,717.0,2742.0,2021.0,480.0,Mississippi,1999
5787.0,3965.0,764.0,3577.0,2697.0,503.0,Missouri,1999
5880.0,3761.0,988.0,3691.0,2653.0,696.0,Montana,1999
6017.0,3757.0,990.0,3874.0,2655.0,703.0,Nebraska,1999
5576.0,3720.0,1039.0,3339.0,2449.0,693.0,Nevada,1999
6373.0,3992.0,897.0,4197.0,2993.0,650.0,New Hampshire,1999
10230.0,6491.0,1753.0,6225.0,4353.0,1137.0,New Jersey,1999
5417.0,3406.0,856.0,3037.0,2268.0,554.0,New Mexico,1999
9373.0,6277.0,1616.0,6369.0,4757.0,1244.0,New York,1999
5623.0,3902.0,876.0,3534.0,2683.0,600.0,North Carolina,1999
5411.0,3384.0,872.0,3314.0,2399.0,630.0,North Dakota,1999
6572.0,4299.0,1187.0,3862.0,2791.0,732.0,Ohio,1999
5255.0,3192.0,767.0,3078.0,2155.0,516.0,Oklahoma,1999
6809.0,3936.0,1427.0,4024.0,2636.0,905.0,Oregon,1999
7502.0,4781.0,1300.0,4714.0,3410.0,894.0,Pennsylvania,1999
7878.0,5141.0,1514.0,5120.0,3746.0,1104.0,Rhode Island,1999
5647.0,3671.0,909.0,3345.0,2472.0,604.0,South Carolina,1999
5175.0,3341.0,721.0,3208.0,2336.0,496.0,South Dakota,1999
5109.0,3366.0,742.0,3323.0,2390.0,517.0,Tennessee,1999
5632.0,3987.0,563.0,3418.0,2704.0,358.0,Texas,1999
