STATE,A_MEDIAN,OCC_CAT,YEAR
Massachusetts,66520,29,2008
Massachusetts,29580,31,2008
Massachusetts,43710,33,2008
Massachusetts,21130,35,2008
Massachusetts,27190,37,2008
Massachusetts,24490,39,2008
Massachusetts,26680,41,2008
Massachusetts,35140,43,2008
Massachusetts,22900,45,2008
Massachusetts,50470,47,2008
Massachusetts,44600,49,2008
Massachusetts,32110,51,2008
Massachusetts,30440,53,2008
Michigan,33730,00,2008
Michigan,86030,11,2008
Michigan,58940,13,2008
Michigan,66350,15,2008
Michigan,70830,17,2008
Michigan,52280,19,2008
Michigan,41230,21,2008
Michigan,72490,23,2008
Michigan,46480,25,2008
Michigan,40990,27,2008
Michigan,57520,29,2008
Michigan,25380,31,2008
Michigan,40640,33,2008
Michigan,17020,35,2008
Michigan,23110,37,2008
Michigan,20300,39,2008
Michigan,23540,41,2008
Michigan,30440,43,2008
Michigan,22450,45,2008
Michigan,43880,47,2008
Michigan,42630,49,2008
Michigan,32760,51,2008
Michigan,28890,53,2008
Minnesota,35090,00,2008
Minnesota,91950,11,2008
Minnesota,54480,13,2008
Minnesota,72490,15,2008
Minnesota,63010,17,2008
Minnesota,59660,19,2008
Minnesota,36460,21,2008
Minnesota,74510,23,2008
Minnesota,41530,25,2008
Minnesota,42830,27,2008
Minnesota,61050,29,2008
Minnesota,26130,31,2008
Minnesota,34880,33,2008
Minnesota,19130,35,2008
Minnesota,24200,37,2008
Minnesota,23140,39,2008
Minnesota,25200,41,2008
Minnesota,31840,43,2008
Minnesota,26110,45,2008
Minnesota,48680,47,2008
Minnesota,41690,49,2008
Minnesota,31820,51,2008
Minnesota,29470,53,2008
Mississippi,26380,00,2008
Mississippi,65400,11,2008
Mississippi,45430,13,2008
Mississippi,50070,15,2008
Mississippi,53050,17,2008
Mississippi,48560,19,2008
Mississippi,32480,21,2008
Mississippi,45170,23,2008
Mississippi,38280,25,2008
Mississippi,34050,27,2008
Mississippi,46850,29,2008
Mississippi,19470,31,2008
Mississippi,25180,33,2008
Mississippi,15790,35,2008
Mississippi,18650,37,2008
Mississippi,17390,39,2008
Mississippi,20110,41,2008
Mississippi,25290,43,2008
Mississippi,26180,45,2008
Mississippi,29420,47,2008
Mississippi,32160,49,2008
Mississippi,26240,51,2008
Mississippi,24500,53,2008
Missouri,30200,00,2008
Missouri,82580,11,2008
Missouri,52110,13,2008
Missouri,64190,15,2008
Missouri,62540,17,2008
Missouri,49790,19,2008
Missouri,34760,21,2008
Missouri,57790,23,2008
Missouri,38190,25,2008
Missouri,37320,27,2008
Missouri,48080,29,2008
Missouri,22050,31,2008
Missouri,29910,33,2008
Missouri,16400,35,2008
Missouri,20670,37,2008
Missouri,19000,39,2008
Missouri,22860,41,2008
Missouri,28030,43,2008
Missouri,21530,45,2008
Missouri,42600,47,2008
Missouri,37450,49,2008
Missouri,28130,51,2008
Missouri,27190,53,2008
Montana,27890,00,2008
Montana,61800,11,2008
Montana,45370,13,2008
Montana,49080,15,2008
Montana,51900,17,2008
Montana,39960,19,2008
Montana,32110,21,2008
Montana,49360,23,2008
Montana,31560,25,2008
Montana,27390,27,2008
Montana,50010,29,2008
Montana,22700,31,2008
Montana,33470,33,2008
Montana,16340,35,2008
Montana,20180,37,2008
Montana,18490,39,2008
Montana,20910,41,2008
Montana,26100,43,2008
Montana,28320,45,2008
Montana,36240,47,2008
Montana,36360,49,2008
Montana,29370,51,2008
Montana,27180,53,2008
Nebraska,29280,00,2008
Nebraska,74690,11,2008
Nebraska,50070,13,2008
Nebraska,62080,15,2008
Nebraska,54990,17,2008
Nebraska,48110,19,2008
Nebraska,31760,21,2008
Nebraska,51130,23,2008
Nebraska,38650,25,2008
Nebraska,32940,27,2008
Nebraska,48530,29,2008
Nebraska,23810,31,2008
Nebraska,31990,33,2008
Nebraska,16120,35,2008
Nebraska,20060,37,2008
Nebraska,18400,39,2008
Nebraska,21650,41,2008
Nebraska,26620,43,2008
Nebraska,22840,45,2008
Nebraska,32570,47,2008
